怒 NỘ
腹 PHỤC
雲 VÂN
曇 ĐÀM
偏 THIÊN
祖 TỔ
賢 HIỀN
添 THIÊM
珍 TRÂN
丈 TRƯỢNG
炉 LÔ
倫 LUÂN
脚 CƯỚC
縁 DUYÊN
鯨 KÌNH
繊 TIÊM
肥 PHÌ
稿 CẢO
頑 NGOAN
犬 KHUYỂN
軟 NHUYỄN
煮 CHỬ
恒 HẰNG
虫 TRÙNG
郊 GIAO
耐 NẠI
瞬 THUẤN
豆 ĐẬU
箱 TƯƠNG
絞 GIẢO
彩 THÁI
菊 CÚC
煙 YÊN
亜 Á
拓 THÁC
僕 BỘC
欄 LAN
陳 TRẦN
糧 LƯƠNG
胞 BÀO
卵 NOÃN
偽 NGỤY
卓 TRÁC
皆 GIAI
干 CAN
疲 BÌ
憶 ỨC
粉 PHẤN
誇 KHOA
恩 ÂN
簿 BỘ
糸 MỊCH
怖 BỐ
諮 TƯ
丘 KHÂU
廷 ĐÌNH
恋 LUYẾN
丹 ĐAN
擁 ỦNG
拘 CÂU
穴 HUYỆT
悟 NGỘ
垣 VIÊN
漏 LẬU
殊 THÙ
狭 HIỆP
冊 SÁCH
鏡 KÍNH
黙 MẶC
寛 KHOAN
剰 THẶNG
没 MỘT
覧 LÃM
慢 MẠN
凍 ĐÔNG
眼 NHÃN
滋 TƯ
阻 TRỞ
往 VÃNG
彰 CHƯƠNG
浄 TỊNH
懲 TRỪNG
眠 MIÊN
寒 HÀN
潜 TIỀM
秩 TRẬT
慨 KHÁI
菌 KHUẨN
彫 ĐIÊU
紅 HỒNG
衡 HÀNH
跳 KHIÊU
熟 THỤC
拍 PHÁCH
冒 MẠO
陰 ÂM
頂 ĐỈNH
尋 TẦM
泣 KHẤP
唆 TOA
孫 TÔN
輩 BỐI
奇 KÌ
寄 KÍ
墓 MỘ
雰 PHÂN
征 CHINH
艦 HẠM
尚 THƯỢNG
塾 THỤC
漫 MẠN
喫 KHIẾT
噴 PHÚN
唯 DUY
軒 HIÊN
芳 PHƯƠNG
屈 KHUẤT
銘 MINH
舗 PHỐ
俵 BIỂU
暇 HẠ
遂 TOẠI
伏 PHỤC
耕 CANH
殖 THỰC
霊 LINH
剛 CƯƠNG
湿 THẤP
髪 PHÁT
零 LINH
悔 HỐI
穂 TUỆ
岳 NHẠC
涙 LỆ
祥 TƯỜNG
棟 ĐỐNG
培 BỒI
晩 VÃN
奨 TƯỞNG
妨 PHƯƠNG
騰 ĐẰNG
妹 MUỘI
翻 PHIÊN
忙 MANG
叫 KHIẾU
諭 DỤ
随 TÙY
粘 NIÊM
浸 TẨM
壇 ĐÀN
糖 ĐƯỜNG
覆 PHÚC
溶 DUNG
磨 MA
姉 TỈ
猶 DO
鋭 NHUỆ
謀 MƯU
盾 THUẪN
飼 TỰ
勲 HUÂN
脈 MẠCH
虚 HƯ
玄 HUYỀN
棒 BỔNG
隔 CÁCH
陛 BỆ
鬼 QUỶ
